Комиссия,Шаблон товара,Тип товара,Подкатегория товара,Категория
0.2,200970_Подставка и ступенька для ног в ванную,Безопасность и ограниченная подвижность,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.23,200972_Кран подъемный,Лебедки и тали,Грузоподъемное оборудование,"Инструменты и оборудование (ремонт, строительство, производство)"
0.2,200975_Подголовник для ванны,Безопасность и ограниченная подвижность,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200976_Противоскользящий коврик для ванны и душа,Коврик для санузла,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200977_Стеллаж и этажерка для ванной комнаты,Передвижной столик,Мебель для ванной комнаты,"Мебель (для дома, офиса, торговли)"
0.21,200978_Органайзер для косметики,Организация хранения,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200979_Органайзер для ватных дисков и палочек,Организация хранения,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.23,200980_Держатель ювелирных изделий и аксессуаров,Декоративные предметы,Декоративные предметы и аксессуары для интерьера,"Декор (интерьер, стены и потолок)"
0.19,200981_Сушилка для рук,Сушилка для рук,"Техника для красоты, гигиены и уходу","Техника (бытовая, климатическая, электроника и сети)"
0.2,200982_Держатель для фена или утюга,Полки и держатели,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200983_Аксессуары для сушилки,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,200984_Мочалка для тела,Текстиль для ванной комнаты,Сауна и бондарные изделия,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200985_Настенная раздвижная сушилка для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,200986_Настенная сушилка для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,200987_Напольная сушилка для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,"200988_Уличная сушилка для белья складная, переносная в виде зонта",Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,200989_Прищепка,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,200990_Шторка для ванной комнаты,Аксессуары для ванной,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,"200992_Прямые, угловые и веерные карнизы для ванной",Аксессуары для ванной,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,200993_Кольца для душевой шторки,Аксессуары для ванной,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.21,200994_Душевая кабина без гидромассажа,Душевые кабины и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.28,200996_Инфракрасная сауна,Инфракрасные сауны для дома,Сауна и бондарные изделия,"Сантехника (ванная комната, санузел, аксессуары)"
0.21,200997_Душевой уголок,Душевые перегородки и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.21,200998_Душевая дверь,Душевые перегородки и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.21,200999_Душевая перегородка,Душевые перегородки и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.2,"201000_Комплектующие для двери душевой кабины, душевого уголка и перегородок",Душевые перегородки и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.2,201001_Ширма на ванну,Ширма на ванну,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.21,201002_Ширма на ванну из нескольких частей,Ширма на ванну,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.28,201003_Бондарные изделия для бани,Аксессуары для бани и сауны,Сауна и бондарные изделия,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,201010_Душевой поддон,Душевой поддон,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.21,201016_Решетка на пол для бани и сауны,Аксессуары для бани и сауны,Сауна и бондарные изделия,"Сантехника (ванная комната, санузел, аксессуары)"
0.16,201017_Ванна,Ванны и элементы установки,Ванны,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,201022_Фронтальная панель для ванны и душевого поддона,Ванны и элементы установки,Ванны,"Сантехника (ванная комната, санузел, аксессуары)"
0.16,201023_Ванна с гидромассажем,Ванны и элементы установки,Ванны,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,201026_Пьедестал,Раковины и элементы установки,Раковины,"Сантехника (ванная комната, санузел, аксессуары)"
0.16,201027_Детская ванночка,Ванны и элементы установки,Ванны,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,201028_Писсуар,Писсуары и Турецкий туалет,"Унитазы, смывные бачки, биде","Сантехника (ванная комната, санузел, аксессуары)"
0.2,201030_Детское сиденье для унитаза,Сидения для унитаза,"Унитазы, смывные бачки, биде","Сантехника (ванная комната, санузел, аксессуары)"
0.23,201031_Бумажные полотенца для диспенсеров,"Губки, салфетки, тряпки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,201032_Подвесная сушилка для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,201033_Потолочная сушилка для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.21,201034_Чехол для сушилки для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,201035_Подставка для сушилки для белья,Сушилки для белья и аксессуары,Хозяйственные принадлежности и уход за вещами,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.2,201037_Наклейка на сиденье для унитаза,Сидения для унитаза,"Унитазы, смывные бачки, биде","Сантехника (ванная комната, санузел, аксессуары)"
0.2,201038_Поручень для ванной,Аксессуары для ванной,Аксессуары для ванной комнаты и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.22,201039_Редуктор и регулятор давления газовый,Газовое оборудование и комплектующие,Сварочное и паяльное оборудование,"Инструменты и оборудование (ремонт, строительство, производство)"
0.22,201040_Комплектующие для газового баллона,Газовое оборудование и комплектующие,Сварочное и паяльное оборудование,"Инструменты и оборудование (ремонт, строительство, производство)"
0.26,201043_Теплый пол,Теплые полы,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.29,201045_Нагревательный кабель для обогрева труб,Кабели для обогрева труб,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.15,201048_Газовые котлы,Котлы,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.22,201049_Продукты для обслуживания и котельные принадлежности,Аксессуары для котлов,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.26,201051_Комплект для водяного теплого пола,Комплектующие для теплых полов,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.23,201054_Циркуляционный насос,Циркуляционные насосы,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.25,201055_Медная труба,Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201057_Кран шаровой,Запорно-регулирующая арматура,Инженерная арматура и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201060_Регулятор перепада давления,Предохранительная арматура,Инженерная арматура и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.27,201061_Счётчик для воды,Счетчики и комплектующие,Приборы учета и контроля воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.21,201008_Уплотнитель для душевой кабины,Душевые кабины и комплектующие,"Душевые кабины, перегородки, ширмы","Сантехника (ванная комната, санузел, аксессуары)"
0.22,201063_Манометр,Измерительные приборы,Приборы учета и контроля воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201065_Кран-букса керамическая и со штоком,Запчасти для сантехники,Запчасти и комплектующие для сантехники,"Сантехника (ванная комната, санузел, аксессуары)"
0.2,"201067_Пробка для мойки, раковины и ванны",Сифоны и сливные механизмы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201069_Излив для мойки и умывальника,Запчасти для сантехники,Запчасти и комплектующие для сантехники,"Сантехника (ванная комната, санузел, аксессуары)"
0.23,201071_Набор для подключения гигиенического душа,"Лейка для душа, шланг и штанга",Душевое оборудование,"Сантехника (ванная комната, санузел, аксессуары)"
0.25,201073_Смеситель термостатический,Смесители для ванной,Смесители для ванной и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.22,201074_Картридж для смесителя,Запчасти для сантехники,Запчасти и комплектующие для сантехники,"Сантехника (ванная комната, санузел, аксессуары)"
0.22,201075_Ручка и маховик для смесителя,Запчасти для сантехники,Запчасти и комплектующие для сантехники,"Сантехника (ванная комната, санузел, аксессуары)"
0.27,201076_Средство для прочистки труб,"Средства по уходу за туалетом, канализацией, септиком",Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,201080_Обратный клапан,Предохранительная арматура,Инженерная арматура и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201081_Фильтр механической очистки,Магистральные фильтры для воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201083_Аэратор и комплект подключения,Запчасти для сантехники,Запчасти и комплектующие для сантехники,"Сантехника (ванная комната, санузел, аксессуары)"
0.22,201088_Заливной клапан бачка унитаза,Арматура для унитазов,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201090_Металлопластиковая труба,Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201091_Стальная труба,Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201092_Труба из нержавеющей стали,Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201093_Крепежный хомут,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201094_Фитинги для труб,Фитинги,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.26,201095_Труба из сшитого полиэтилена (PE-X),Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201102_Кран водоразборный,Запорно-регулирующая арматура,Инженерная арматура и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201105_ПНД труба,Трубы,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.26,201106_Медные фитинги для медных труб,Фитинги,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201107_Изоляция для труб,Изоляция для труб,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201108_Фитинги резьбовые,Фитинги,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201109_Фум лента,Уплотнители и прокладки для труб,Герметизация и ремонт труб,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.26,201110_Коллектор,Коллекторы и шкафы,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.23,201112_Твердый уплотнитель,Уплотнители и прокладки для труб,Герметизация и ремонт труб,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.21,201113_Шланг для подключения стиральной машины,Шланги и фитинги для стиральной машины,Подводка для воды и газа,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201117_Аксессуары для сливного бачка,Арматура для унитазов,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.2,"201119_Крепеж (для раковины, унитаза, сиденья для унитаза)",Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201120_Жесткая фановая труба,Гофрированные трубы и манжеты для унитаза,Канализация и водоотведение,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201121_Труба для внутренней канализации,Трубы и фитинги для внутренней канализации,Канализация и водоотведение,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201123_Гибкая подводка для воды,Подводка для воды,Подводка для воды и газа,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.2,201124_Ситечко в мойку,Аксессуары для мойки,"Мойка, смеситель и аксессуары для рабочей зоны","Кухни (гарнитуры, мойки, обустройство кухни)"
0.25,201126_Фитинги для подключения смесителя,Фитинги,Трубопровод и комплектующие,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201128_Уплотнитель клапана,Уплотнители и прокладки для труб,Герметизация и ремонт труб,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201129_Механическая прочистка труб,Инструменты для прочистки засоров,Сантехнические инструменты,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.26,201130_Герметик уплотнительный на основе смолы,Герметики и клеи для труб,Герметизация и ремонт труб,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201131_Трап для душа,Душевые трапы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.23,201134_Канализационный насос,Насосы,Насосное оборудование и аксессуары,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.23,201135_Дренажный насос,Насосы,Насосное оборудование и аксессуары,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201137_Гибкая фановая труба,Гофрированные трубы и манжеты для унитаза,Канализация и водоотведение,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,"201138_Слив, выпуск и донный клапан",Сифоны и сливные механизмы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201140_Сифон без выпуска,Сифоны и сливные механизмы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201141_Сифон с выпуском,Сифоны и сливные механизмы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.21,201142_Сливной шланг для стиральной машины,Шланги и фитинги для стиральной машины,Подводка для воды и газа,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201143_Фитинги внутренней канализации,Трубы и фитинги для внутренней канализации,Канализация и водоотведение,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201147_Запасные части для слива,Сифоны и сливные механизмы,Системы слива,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.14,201148_Замазка гидроизоляционная,Гидроизоляция,"Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.21,201150_Уплотнительная лента,Уплотнители,"Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.25,201151_Кабинетный фильтр,Системы очистки для частных домов,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201152_Соль для умягчения воды,Системы очистки для частных домов,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201153_Картридж для фильтра-кувшина,Сменные картриджи для фильтров,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201154_Комплект картриджей для фильтров воды,Сменные картриджи для фильтров,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201155_Фильтрующая засыпка для фильтров,Системы очистки для частных домов,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201160_Система очистки воды для коттеджей,Системы очистки для частных домов,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201161_Кулер для воды,Кулеры и пурифайеры,Крупная бытовая техника,"Техника (бытовая, климатическая, электроника и сети)"
0.24,201163_Система фильтрации под мойку,Фильтры для питьевой воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201164_Сменные картриджи для фильтров,Сменные картриджи для фильтров,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201166_Запасные части для водоочистителя,Запасные части и аксессуары для фильтров,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201167_Корпус фильтра,Магистральные фильтры для воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201170_Фильтр - насадка на кран,Фильтры для питьевой воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201172_Обратный осмос,Фильтры для питьевой воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.24,201174_Фильтр кувшин,Фильтры для питьевой воды,Фильтрация и очистка воды,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.22,201175_Подводка и шланги для газа,Подводка для газа,Подводка для воды и газа,"Водоснабжение (нагрев, отведение, фильтрация и арматура)"
0.25,201177_Смеситель для раковины,Смесители для ванной,Смесители для ванной и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.25,201178_Смеситель для биде,Смеситель для туалета,Смесители для ванной и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
0.25,201179_Смеситель для ванны,Смесители для ванной,Смесители для ванной и туалета,"Сантехника (ванная комната, санузел, аксессуары)"
