"Объемный брейк отправления, в л","Тариф, с НДС"
от 0 до 1 л,33
"от 1,01 л до 3 л",30
"от 3,01 л до 5 л ",19
"от 5,01 л до 10 л",18
"от 10,01 л до 15 л",16
"от 15,01 л до 20 л",15
"от 20,01 л до 30 л",15
"от 30,01 л до 50 л",9
"от 50,01 л до 80 л",6
"от 80,01 л до 100 л",6
"от 100,01 л до 120 л",6
"от 120,01 л + 1 л (за каждый дополнительный л свыше 120 л)",2
